,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,123275050000.0,123275050000.0,123275050000.0,123275050000.0
Share Issued,123275050000.0,123275050000.0,123275050000.0,123275050000.0
Total Debt,2371888000000.0,2105543000000.0,2289222000000.0,2718014000000.0
Tangible Book Value,240791483000000.0,219451486000000.0,201130470000000.0,182966706000000.0
Invested Capital,244485305000000.0,222834980000000.0,204670559000000.0,186993868000000.0
Net Tangible Assets,240791483000000.0,219451486000000.0,201130470000000.0,182966706000000.0
Common Stock Equity,242356256000000.0,221018606000000.0,202712762000000.0,184596326000000.0
Total Capitalization,244485305000000.0,222834980000000.0,204670559000000.0,186993868000000.0
Total Equity Gross Minority Interest,242537593000000.0,221181655000000.0,202848934000000.0,184714709000000.0
Minority Interest,181337000000.0,163049000000.0,136172000000.0,118383000000.0
Stockholders Equity,242356256000000.0,221018606000000.0,202712762000000.0,184596326000000.0
Other Equity Interest,1385000000.0,1385000000.0,1385000000.0,1385000000.0
Fixed Assets Revaluation Reserve,10936462000000.0,10713088000000.0,9521504000000.0,9521414000000.0
Retained Earnings,219723216000000.0,198132066000000.0,177067556000000.0,158298441000000.0
Additional Paid In Capital,5548977000000.0,5548977000000.0,5548977000000.0,5548977000000.0
Capital Stock,1540938000000.0,1540938000000.0,1540938000000.0,1540938000000.0
Common Stock,1540938000000.0,1540938000000.0,1540938000000.0,1540938000000.0
Total Liabilities Net Minority Interest,1165569417000000.0,1093550019000000.0,1025495746000000.0,890855547000000.0
Derivative Product Liabilities,122765000000.0,383273000000.0,55162000000.0,138757000000.0
Long Term Debt And Capital Lease Obligation,2371888000000.0,2105543000000.0,2289222000000.0,2718014000000.0
Payables,8105839000000.0,5378229000000.0,6526288000000.0,6609073000000.0
Total Tax Payable,1727910000000.0,2373869000000.0,1819660000000.0,2272189000000.0
Accounts Payable,6377929000000.0,3004360000000.0,4706628000000.0,4336884000000.0
Total Assets,1408107010000000.0,1314731674000000.0,1228344680000000.0,1075570256000000.0
Investments And Advances,327112284000000.0,251128295000000.0,226679579000000.0,195489346000000.0
Investmentin Financial Assets,327112284000000.0,251128295000000.0,226679579000000.0,195489346000000.0
Held To Maturity Securities,,,,22033947000000.0
Available For Sale Securities,312053624000000.0,248895166000000.0,224232416000000.0,192553101000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,14841146000000.0,2132811000000.0,1117078000000.0,1856202000000.0
Trading Securities,,,,2936245000000.0
Goodwill And Other Intangible Assets,1564773000000.0,1567120000000.0,1582292000000.0,1629620000000.0
Other Intangible Assets,406572000000.0,408919000000.0,424091000000.0,471419000000.0
Goodwill,1158201000000.0,1158201000000.0,1158201000000.0,1158201000000.0
Net PPE,26824744000000.0,24709372000000.0,22169299000000.0,21915054000000.0
Accumulated Depreciation,-10100123000000.0,-10071161000000.0,-8939074000000.0,-11994702000000.0
Gross PPE,36924867000000.0,34780533000000.0,31108373000000.0,33909756000000.0
Construction In Progress,2827584000000.0,1763047000000.0,902422000000.0,1445777000000.0
Other Properties,18770000000.0,17996000000.0,58384000000.0,68484000000.0
Machinery Furniture Equipment,10257810000000.0,9633436000000.0,8576543000000.0,11834331000000.0
Buildings And Improvements,8314756000000.0,8130322000000.0,7690124000000.0,6890380000000.0
Land And Improvements,15505947000000.0,15235732000000.0,13880900000000.0,13670784000000.0
Prepaid Assets,1063898000000.0,878689000000.0,660274000000.0,819798000000.0
Receivables,24600718000000.0,16269935000000.0,16375246000000.0,18089504000000.0
Cash And Cash Equivalents,127933638000000.0,161598872000000.0,188154635000000.0,111227812000000.0
Cash Financial,21701514000000.0,21359509000000.0,23615635000000.0,24322335000000.0
