,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,683491183.588528,8518954908.048587,-4292230298.960582,-10357905923.727856
Tax Rate For Calcs,0.191454,0.192432,0.190546,0.191292
Total Unusual Items,3570000000.0,44270000000.0,-22526000000.0,-54147000000.0
Total Unusual Items Excluding Goodwill,3570000000.0,44270000000.0,-22526000000.0,-54147000000.0
Net Income From Continuing Operation Net Minority Interest,48639122000000.0,40735722000000.0,31422660000000.0,27131109000000.0
Reconciled Depreciation,3402740000000.0,2662190000000.0,2447189000000.0,2545011000000.0
Net Interest Income,77050359000000.0,65701870000000.0,57818655000000.0,55698794000000.0
Interest Expense,9731953000000.0,6012580000000.0,7539237000000.0,9414666000000.0
Interest Income,86782312000000.0,71714450000000.0,65357892000000.0,65113460000000.0
Normalized Income,48636235491183.586,40699970954908.05,31440893769701.04,27174898094076.273
Net Income From Continuing And Discontinued Operation,48639122000000.0,40735722000000.0,31422660000000.0,27131109000000.0
Diluted Average Shares,123275050000.0,123275050000.0,123275050000.0,123275050000.0
Basic Average Shares,123275050000.0,123275050000.0,123275050000.0,123275050000.0
Diluted EPS,395.0,330.0,255.0,220.0
Basic EPS,395.0,330.0,255.0,220.0
Diluted NI Availto Com Stockholders,48639122000000.0,40735722000000.0,31422660000000.0,27131109000000.0
Net Income Common Stockholders,48639122000000.0,40735722000000.0,31422660000000.0,27131109000000.0
Net Income,48639122000000.0,40735722000000.0,31422660000000.0,27131109000000.0
Minority Interests,-18973000000.0,-19850000000.0,-17499000000.0,-16000000000.0
Net Income Including Noncontrolling Interests,48658095000000.0,40755572000000.0,31440159000000.0,27147109000000.0
Net Income Continuous Operations,48658095000000.0,40755572000000.0,31440159000000.0,27147109000000.0
Tax Provision,11521662000000.0,9711461000000.0,7401015000000.0,6421398000000.0
Pretax Income,60179757000000.0,50467033000000.0,38841174000000.0,33568507000000.0
Special Income Charges,3570000000.0,44270000000.0,-22526000000.0,-54147000000.0
Write Off,-3570000000.0,-44270000000.0,22526000000.0,54147000000.0
Gain On Sale Of Security,1536687000000.0,-1051603000000.0,1497276000000.0,1128086000000.0
Operating Expense,39725532000000.0,34541198000000.0,32057417000000.0,31513253000000.0
Other Operating Expenses,4163626000000.0,3626962000000.0,3538575000000.0,3809967000000.0
Depreciation And Amortization In Income Statement,3402740000000.0,2662190000000.0,2447189000000.0,2545011000000.0
Amortization,276409000000.0,284770000000.0,309082000000.0,304529000000.0
Depreciation Income Statement,3126331000000.0,2377420000000.0,2138107000000.0,2240482000000.0
Selling General And Administration,12653813000000.0,11360112000000.0,9763657000000.0,9118231000000.0
Selling And Marketing Expense,1630166000000.0,1318563000000.0,964487000000.0,870086000000.0
General And Administrative Expense,11023647000000.0,10041549000000.0,8799170000000.0,8248145000000.0
Insurance And Claims,2277722000000.0,2118061000000.0,1804493000000.0,1599036000000.0
Rent And Landing Fees,1029820000000.0,1122415000000.0,1016376000000.0,1091233000000.0
Total Revenue,101914664000000.0,89523508000000.0,80139976000000.0,76706444000000.0
Operating Revenue,101914664000000.0,89523508000000.0,80139976000000.0,76706444000000.0
